,コメントID,投稿時間,ユーザ名,コメント,コメント文字数
447,6549.0,2024-11-09 19:12:31 ,latte,関係性が好き,6.0
448,6555.0,2024-11-09 19:12:39 ,ジュン,戦術教室を識の律者をやったら！再び！YATTA!をやります。,30.0
449,6556.0,2024-11-09 19:12:39 ,通りすがり,識ちゃんが家出したのもボロボロのフカに負担増やさないためってのもあるしね,36.0
450,6610.0,2024-11-09 19:13:17 ,にゃーにゃー,涙腺を生贄にRubio,11.0
451,6642.0,2024-11-09 19:13:42 ,えむるん｡,毎回泣きながら配信始まる…,13.0
452,6672.0,2024-11-09 19:14:27 ,latte,高山さんすごい,7.0
453,6678.0,2024-11-09 19:14:37 ,こゆき,そうなのよ,5.0
454,6679.0,2024-11-09 19:14:37 ,えむるん｡,感情に身を任せてる感じがね,13.0
455,6684.0,2024-11-09 19:14:44 ,えー,これたわけがなんだ道化がと思ってた,17.0
456,6733.0,2024-11-09 19:16:00 ,えむるん｡,まじで思った…,7.0
457,6734.0,2024-11-09 19:16:00 ,latte,またミホヨなんだ,8.0
458,6765.0,2024-11-09 19:16:28 ,えむるん｡,キアナが救ったんだよな…,12.0
459,6795.0,2024-11-09 19:17:06 ,jAkiS Helio,Fuk Otto,8.0
460,6823.0,2024-11-09 19:17:43 ,latte,一人ぼっちにさせないからあああ,15.0
461,6832.0,2024-11-09 19:17:49 ,えむるん｡,ここ好き…,5.0
462,6863.0,2024-11-09 19:18:23 ,こゆき,最高すぎる,5.0
463,6903.0,2024-11-09 19:18:57 ,通りすがり,ぞよ達も満足してるぞよ,11.0
464,6908.0,2024-11-09 19:19:08 ,こゆき,ぞよも喜んでるよ,8.0
465,6915.0,2024-11-09 19:19:13 ,latte,この場所で全てが変わった,12.0
466,6933.0,2024-11-09 19:19:39 ,えむるん｡,自分の好きな様に生きてくれよ…,15.0
467,6943.0,2024-11-09 19:19:57 ,通りすがり,識ちゃんも言ってることは同じだからね……>フカは頑張ったのだから報われるべき,38.0
468,7096.0,2024-11-09 19:21:51 ,通りすがり,公式チャンネルいくとネタバレの嵐だからね,20.0
469,7111.0,2024-11-09 19:22:08 ,えむるん｡,初めて聞いたー,7.0
470,7186.0,2024-11-09 19:23:30 ,通りすがり,未プレイの人は是非自分でこの物語を読んで欲しいぜ……,26.0
471,7222.0,2024-11-09 19:24:34 ,通りすがり,和訳が凄まじいぜ,8.0
472,7256.0,2024-11-09 19:25:23 ,通りすがり,拠り所に導くよ,7.0
473,7292.0,2024-11-09 19:26:32 ,通りすがり,崩壊3rdの主題歌は全部和訳の完成度が凄まじいぜ……特にMoon Haloとかね,40.0
474,7353.0,2024-11-09 19:28:01 ,こゆき,みんないるのよ,7.0
475,7449.0,2024-11-09 19:29:34 ,通りすがり,フカ周りのビジュアルノベルは未完だからな…,21.0
476,7490.0,2024-11-09 19:30:13 ,こゆき,ワトソンもいるね,8.0
477,7499.0,2024-11-09 19:30:24 ,kkj_1939 (KJ),AAAAAAAAAAAA,12.0
478,7516.0,2024-11-09 19:30:35 ,latte,ううううううう,7.0
479,7519.0,2024-11-09 19:30:36 ,通りすがり,隊長の手とキアナの手が重なるんだなぁ,18.0
480,7546.0,2024-11-09 19:30:56 ,latte,隊長〜〜〜〜,6.0
481,7566.0,2024-11-09 19:31:34 ,通りすがり,女媧、伏犠、ケビン、おすしちゃん……,18.0
482,7581.0,2024-11-09 19:31:57 ,ジュン,ww,2.0
483,7582.0,2024-11-09 19:31:59 ,latte,すっごいミホヨの本気を感じる,14.0
484,7646.0,2024-11-09 19:33:43 ,るーと,kono,4.0
485,7695.0,2024-11-09 19:34:45 ,latte,人の心揺さぶるのが得意なミホヨくん,17.0
486,7784.0,2024-11-09 19:36:17 ,えむるん｡,我慢出来てえらいぞ…,10.0
487,7796.0,2024-11-09 19:36:48 ,latte,もういい、またなの…,10.0
488,7868.0,2024-11-09 19:39:09 ,latte,歌詞がもう完全にフカのための曲だもんね,19.0
489,7874.0,2024-11-09 19:39:17 ,通りすがり,主題歌は大体そのムービーの主人公のキャラソンも兼ねてるぜ……,30.0
490,7922.0,2024-11-09 19:40:18 ,入賀ツェフ,31章クリアしてから、2022年の崩壊3rdコンサートを見るんだ,32.0
491,7928.0,2024-11-09 19:40:24 ,latte,もうメインディッシュおかわりしてくるよ,19.0
492,7949.0,2024-11-09 19:40:45 ,ジュン,よし！クリスマスまでに25章！行きましょう！,22.0
493,7951.0,2024-11-09 19:40:50 ,通りすがり,ミホヨの進化は止まらないからよ,15.0
494,7987.0,2024-11-09 19:41:41 ,通りすがり,3rdやるとスタレの面白さが300%くらいになるから超オススメなんすよ…,36.0
495,8022.0,2024-11-09 19:42:14 ,入賀ツェフ,その次は31章だぞ,9.0
496,8066.0,2024-11-09 19:42:32 ,こゆき,25章も最高だぞ,8.0
497,8234.0,2024-11-09 19:44:32 ,こゆき,何度見たっていい,8.0
498,8278.0,2024-11-09 19:45:53 ,latte,区、くる,4.0
499,8305.0,2024-11-09 19:46:17 ,latte,委員長は歯医者じゃない！,12.0
500,8321.0,2024-11-09 19:46:55 ,latte,Rubiaの入りよ,9.0
501,8358.0,2024-11-09 19:47:46 ,えむるん｡,確かに…,4.0
502,8396.0,2024-11-09 19:48:34 ,latte,させないから！！！,9.0
503,8419.0,2024-11-09 19:49:12 ,kkj_1939 (KJ),AAAAAAAAAA,10.0
504,8435.0,2024-11-09 19:49:33 ,えむるん｡,キアナが救った…:_しんどみが深い:,18.0
505,8441.0,2024-11-09 19:49:46 ,latte,すごいわかる,6.0
506,8482.0,2024-11-09 19:51:03 ,えむるん｡,そやね…,4.0
507,8487.0,2024-11-09 19:51:20 ,NZ666クシャトリヤ刹帝利,22章1～7のタイトルももう一度見てお願いします,24.0
508,8491.0,2024-11-09 19:51:25 ,latte,私とわたしなんだよね,10.0
509,8492.0,2024-11-09 19:51:25 ,通りすがり,フカが言い出せないから識ちゃんは「そんなのフカにとって理不尽じゃないですか！」って怒ってるのが良き,49.0
510,8508.0,2024-11-09 19:52:01 ,ジュン,最後に戦術教室で識ちゃんをやってください。みんなが『 YATTA 』と言う！コールの意味が分かりますよ！,52.0
511,8752.0,2024-11-09 19:54:30 ,通りすがり,だからこそオットーは救われない……,17.0
512,8795.0,2024-11-09 19:55:10 ,KuRrz,僕のチグサ,5.0
513,8799.0,2024-11-09 19:55:16 ,通りすがり,一章ずつかなー。全部長いので,14.0
514,8852.0,2024-11-09 19:55:30 ,セリフ部門(自称)のりんか,23〜24、25章で分けるといい,16.0
515,8914.0,2024-11-09 19:56:06 ,通りすがり,もう問題はないかな？,10.0
516,8953.0,2024-11-09 19:56:42 ,火山坊主,話が濃いので間隔が開けすぎないように,18.0
517,8954.0,2024-11-09 19:56:42 ,ジュン,識ちゃんの紹介PVも面白いですよ！,17.0
518,8982.0,2024-11-09 19:57:15 ,ジュン,識ちゃんの紹介PVも見てほしい！,16.0
519,8993.0,2024-11-09 19:57:31 ,通りすがり,ここら辺からPVの質が一段階上がった気がする,22.0
520,9028.0,2024-11-09 19:58:02 ,latte,識ちゃん強い,6.0
521,9035.0,2024-11-09 19:58:10 ,ジュン,識ちゃんの紹介PVも見て下さい。,16.0
522,9166.0,2024-11-09 19:59:22 ,latte,くるくる〜,5.0
523,9222.0,2024-11-09 20:00:56 ,ジュン,最後に戦術教室で識ちゃんをやってください。みんなが『 YATTA 』と言う！コールの意味が分かりますよ！,52.0
524,9286.0,2024-11-09 20:01:45 ,ジュン,識ちゃんの紹介PVも見て下さい。,16.0
525,9305.0,2024-11-09 20:02:01 ,通りすがり,お疲れ様でしたー,8.0
526,9344.0,2024-11-09 20:02:45 ,ジュン,YATTA!,6.0
527,9346.0,2024-11-09 20:02:50 ,通りすがり,戦術教室で識ちゃんの操作を練習すると彼女の可愛さがより理解できるよ,33.0
528,9351.0,2024-11-09 20:03:07 ,えむるん｡,おつー:_ちぐっと:２2章泣きすぎて涙かれました……rubia一緒にきけてよかった:_しんどみが深い:,51.0
529,9353.0,2024-11-09 20:03:14 ,latte,そうですね,5.0
530,9361.0,2024-11-09 20:03:29 ,こゆき,ってか必須レベル,8.0
531,9366.0,2024-11-09 20:03:33 ,latte,ワンタン感謝,6.0
532,9373.0,2024-11-09 20:03:46 ,通りすがり,古の楽園は必須レベルゆえ……,14.0
533,9381.0,2024-11-09 20:04:00 ,通りすがり,それは、そう,6.0
534,9382.0,2024-11-09 20:04:02 ,latte,多少ハードル上げても大丈夫,13.0
535,9387.0,2024-11-09 20:04:13 ,こゆき,あれはネタバレないねー,11.0
536,9388.0,2024-11-09 20:04:13 ,えむるん｡,それな,3.0
537,9402.0,2024-11-09 20:04:34 ,latte,YATTA！,6.0
538,9410.0,2024-11-09 20:04:47 ,えむるん｡,こちらこ長時間ありがとー！,13.0
539,9411.0,2024-11-09 20:04:48 ,こゆき,一緒に見れて良かった！,11.0
540,9491.0,2024-11-09 20:06:20 ,シウ,25章が近づいてきたなぁ…楽しみや,17.0
541,9499.0,2024-11-09 20:07:16 ,こんぱろ,また明日！,5.0
542,9500.0,2024-11-09 20:07:17 ,Cooky / クッキー,ありがとう～～～～,9.0
543,9501.0,2024-11-09 20:07:24 ,結城丈二,また明日,4.0
544,9502.0,2024-11-09 20:07:54 ,火山坊主,また明日,4.0
